run,plan_id,phase,module,model,prompt,prompt_version,parsed_ok,attempts,retries,error,latency_ms,tokens_in,tokens_out,created_at
7,2,outline,,gemini-3.5-flash-lite,plan_outline,2.0,True,3,2,,13957,7383,4560,2026-09-23T18:20:48.079550
8,2,outline,,gemini-3.5-flash-lite,plan_outline,2.0,True,2,1,,12011,3935,2824,2026-09-23T18:20:48.079558
9,2,outline,,gemini-3.5-flash-lite,plan_outline,2.0,True,3,2,,24147,3868,1934,2026-09-23T18:20:48.079560
10,2,outline,,gemini-3.5-flash-lite,plan_outline,2.0,True,2,1,,15507,4599,2385,2026-09-23T18:20:48.079562
11,2,module,M01,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,10535,1361,2623,2026-09-23T18:21:07.537882
12,2,module,M02,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,13918,1566,3856,2026-09-23T18:21:08.056669
13,2,module,M03,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,8101,1427,2708,2026-09-23T18:21:23.073396
14,2,module,M04,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,15362,1467,2826,2026-09-23T18:21:49.397495
15,2,module,M05,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,15725,1698,2757,2026-09-23T18:22:16.259310
16,2,module,M06,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,10890,1574,2806,2026-09-23T18:22:41.680394
17,2,module,M07,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,13120,1723,3033,2026-09-23T18:23:11.124717
18,2,module,M08,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,12525,1997,4625,2026-09-23T18:23:39.804789
19,3,outline,,gemini-3.5-flash-lite,plan_outline,2.0,True,3,2,,58724,7269,4694,2026-09-23T18:31:46.385251
20,3,outline,,gemini-3.5-flash-lite,plan_outline,2.0,True,2,1,,16968,3712,2607,2026-09-23T18:31:46.385258
21,3,outline,,gemini-3.5-flash-lite,plan_outline,2.0,True,2,1,,9649,5235,2710,2026-09-23T18:31:46.385261
22,3,module,M01,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,8746,1209,2529,2026-09-23T18:32:14.939991
23,3,module,M02,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,10051,1771,3385,2026-09-23T18:32:15.433143
24,3,module,M03,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,10828,1586,3846,2026-09-23T18:32:17.424648
25,3,module,M04,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,20206,1384,2697,2026-09-23T18:32:19.534541
26,3,module,M05,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,11145,1570,2827,2026-09-23T18:32:21.488916
27,3,module,M06,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,24770,1250,2920,2026-09-23T18:32:23.451712
28,3,module,M07,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,8986,1169,3239,2026-09-23T18:32:25.400549
29,3,module,M08,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,11351,1429,3826,2026-09-23T18:32:27.345251
30,4,outline,,gemini-3.5-flash-lite,plan_outline,2.0,True,2,1,,8856,3328,2501,2026-09-23T18:35:50.907549
31,4,outline,,gemini-3.5-flash-lite,plan_outline,2.0,True,2,1,,22450,3932,3052,2026-09-23T18:35:50.907558
32,4,outline,,,plan_outline,2.0,False,3,2,"unavailable: 504 DEADLINE_EXCEEDED. {'error': {'code': 504, 'message': 'Deadline expired before operation could complete.', 'status': 'DEADLINE_EXCEEDED'}}",91419,0,0,2026-09-23T18:35:50.907561
33,4,outline,,gemini-3.5-flash-lite,plan_outline,2.0,True,2,1,,20909,4601,2307,2026-09-23T18:35:50.907562
34,5,outline,,gemini-3.5-flash-lite,plan_outline,2.0,True,2,1,,44551,3337,2267,2026-09-23T18:37:09.180336
35,5,outline,,gemini-3.5-flash-lite,plan_outline,2.0,True,2,1,,22006,3941,2902,2026-09-23T18:37:09.180345
36,5,outline,,gemini-3.5-flash-lite,plan_outline,2.0,True,2,1,,36347,4389,2453,2026-09-23T18:37:09.180347
37,5,outline,,gemini-3.5-flash-lite,plan_outline,2.0,True,2,1,,16031,2932,661,2026-09-23T18:37:09.180349
38,5,module,M01,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,31551,1684,3446,2026-09-23T18:37:57.310207
39,5,module,M02,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,33087,1441,2771,2026-09-23T18:37:58.060895
40,5,module,M03,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,44247,1337,2783,2026-09-23T18:38:00.184901
41,5,module,M04,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,10086,1781,2956,2026-09-23T18:38:02.311624
42,5,module,M05,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,34456,1518,3288,2026-09-23T18:38:04.420804
43,5,module,M06,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,8312,1468,2619,2026-09-23T18:38:06.701821
44,5,module,M07,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,33792,1519,3111,2026-09-23T18:38:08.814871
45,5,module,M08,gemini-3.5-flash-lite,module_content,1.1,True,1,0,,10337,1177,3048,2026-09-23T18:38:10.935128
46,6,outline,,gemini-3.5-flash-lite,plan_outline,2.0,True,3,2,,12621,7374,4403,2026-09-23T18:39:09.447566
47,6,outline,,gemini-3.5-flash-lite,plan_outline,2.0,True,2,1,,7173,3930,2517,2026-09-23T18:39:09.447578
